text,Category
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Philosophy
"The quick brown fox jumps over the lazy dog.",Animals
"Python is a widely-used programming language known for its simplicity and readability.",Technology
"Roses are red, violets are blue, sugar is sweet, and so are you.",Poetry
"Albert Einstein was a theoretical physicist who developed the theory of relativity.",Science
"Artificial intelligence is revolutionizing various industries, including healthcare and finance.",Technology
"The Mona Lisa is a famous portrait painting by Leonardo da Vinci.",Art
"The mitochondria is known as the powerhouse of the cell.",Biology
"Shakespeare is often regarded as one of the greatest playwrights in the English language.",Literature
"Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize foods.",Biology
